was_die_roll, sent_message, message_received, system_time, logical_clock_time, length_of_queue
1, 0, 0, Wed Mar  1 21:37:17 2023, 0, 0
0, 0, 1, Wed Mar  1 21:37:18 2023, 1, 1
0, 0, 1, Wed Mar  1 21:37:18 2023, 2, 2
0, 0, 1, Wed Mar  1 21:37:19 2023, 4, 2
0, 0, 1, Wed Mar  1 21:37:19 2023, 5, 2
0, 0, 1, Wed Mar  1 21:37:20 2023, 6, 2
0, 0, 1, Wed Mar  1 21:37:20 2023, 7, 2
0, 0, 1, Wed Mar  1 21:37:21 2023, 8, 1
0, 0, 1, Wed Mar  1 21:37:21 2023, 14, 2
0, 0, 1, Wed Mar  1 21:37:22 2023, 16, 1
0, 0, 1, Wed Mar  1 21:37:22 2023, 18, 1
0, 0, 1, Wed Mar  1 21:37:23 2023, 21, 1
0, 0, 1, Wed Mar  1 21:37:23 2023, 26, 0
0, 0, 1, Wed Mar  1 21:37:24 2023, 28, 0
0, 0, 1, Wed Mar  1 21:37:24 2023, 34, 1
0, 0, 1, Wed Mar  1 21:37:25 2023, 35, 1
0, 0, 1, Wed Mar  1 21:37:25 2023, 36, 0
1, 0, 0, Wed Mar  1 21:37:26 2023, 37, 0
0, 0, 1, Wed Mar  1 21:37:26 2023, 38, 0
1, 0, 0, Wed Mar  1 21:37:27 2023, 46, 0
0, 0, 1, Wed Mar  1 21:37:27 2023, 47, 0
0, 0, 1, Wed Mar  1 21:37:28 2023, 49, 0
0, 0, 1, Wed Mar  1 21:37:28 2023, 54, 0
1, 1, 0, Wed Mar  1 21:37:29 2023, 56, 0
1, 0, 0, Wed Mar  1 21:37:29 2023, 57, 0
1, 0, 0, Wed Mar  1 21:37:30 2023, 58, 0
0, 0, 1, Wed Mar  1 21:37:30 2023, 59, 1
0, 0, 1, Wed Mar  1 21:37:31 2023, 65, 2
0, 0, 1, Wed Mar  1 21:37:31 2023, 66, 3
0, 0, 1, Wed Mar  1 21:37:32 2023, 68, 2
0, 0, 1, Wed Mar  1 21:37:32 2023, 69, 1
0, 0, 1, Wed Mar  1 21:37:33 2023, 71, 0
0, 0, 1, Wed Mar  1 21:37:33 2023, 72, 0
1, 0, 0, Wed Mar  1 21:37:34 2023, 81, 0
1, 0, 0, Wed Mar  1 21:37:34 2023, 82, 0
0, 0, 1, Wed Mar  1 21:37:35 2023, 83, 1
0, 0, 1, Wed Mar  1 21:37:35 2023, 88, 1
0, 0, 1, Wed Mar  1 21:37:36 2023, 89, 1
0, 0, 1, Wed Mar  1 21:37:36 2023, 90, 0
1, 0, 0, Wed Mar  1 21:37:37 2023, 91, 0
0, 0, 1, Wed Mar  1 21:37:37 2023, 92, 0
0, 0, 1, Wed Mar  1 21:37:38 2023, 102, 1
0, 0, 1, Wed Mar  1 21:37:38 2023, 103, 0
0, 0, 1, Wed Mar  1 21:37:39 2023, 104, 0
0, 0, 1, Wed Mar  1 21:37:39 2023, 108, 1
0, 0, 1, Wed Mar  1 21:37:40 2023, 111, 0
0, 0, 1, Wed Mar  1 21:37:40 2023, 112, 0
1, 0, 0, Wed Mar  1 21:37:41 2023, 115, 0
0, 0, 1, Wed Mar  1 21:37:41 2023, 116, 0
1, 0, 0, Wed Mar  1 21:37:42 2023, 120, 0
1, 0, 0, Wed Mar  1 21:37:42 2023, 121, 0
1, 0, 0, Wed Mar  1 21:37:43 2023, 122, 0
1, 1, 0, Wed Mar  1 21:37:43 2023, 123, 0
0, 0, 1, Wed Mar  1 21:37:44 2023, 124, 0
1, 0, 0, Wed Mar  1 21:37:44 2023, 133, 0
0, 0, 1, Wed Mar  1 21:37:45 2023, 134, 0
0, 0, 1, Wed Mar  1 21:37:45 2023, 139, 0
1, 1, 0, Wed Mar  1 21:37:46 2023, 140, 0
0, 0, 1, Wed Mar  1 21:37:46 2023, 141, 0
1, 1, 0, Wed Mar  1 21:37:47 2023, 145, 0
0, 0, 1, Wed Mar  1 21:37:47 2023, 146, 0
1, 1, 0, Wed Mar  1 21:37:48 2023, 151, 0
1, 1, 0, Wed Mar  1 21:37:48 2023, 152, 0
1, 1, 0, Wed Mar  1 21:37:49 2023, 153, 0
1, 1, 0, Wed Mar  1 21:37:49 2023, 154, 0
1, 0, 0, Wed Mar  1 21:37:50 2023, 155, 0
0, 0, 1, Wed Mar  1 21:37:50 2023, 156, 1
0, 0, 1, Wed Mar  1 21:37:51 2023, 162, 1
0, 0, 1, Wed Mar  1 21:37:51 2023, 163, 3
0, 0, 1, Wed Mar  1 21:37:52 2023, 164, 3
0, 0, 1, Wed Mar  1 21:37:52 2023, 166, 2
0, 0, 1, Wed Mar  1 21:37:53 2023, 171, 1
0, 0, 1, Wed Mar  1 21:37:53 2023, 172, 0
1, 0, 0, Wed Mar  1 21:37:54 2023, 173, 0
0, 0, 1, Wed Mar  1 21:37:54 2023, 174, 0
0, 0, 1, Wed Mar  1 21:37:55 2023, 184, 0
1, 1, 0, Wed Mar  1 21:37:55 2023, 186, 0
0, 0, 1, Wed Mar  1 21:37:56 2023, 187, 0
1, 1, 0, Wed Mar  1 21:37:56 2023, 194, 0
1, 0, 0, Wed Mar  1 21:37:57 2023, 195, 0
0, 0, 1, Wed Mar  1 21:37:57 2023, 196, 0
1, 0, 0, Wed Mar  1 21:37:58 2023, 200, 0
0, 0, 1, Wed Mar  1 21:37:58 2023, 201, 0
0, 0, 1, Wed Mar  1 21:37:59 2023, 207, 0
1, 1, 0, Wed Mar  1 21:37:59 2023, 208, 0
0, 0, 1, Wed Mar  1 21:38:00 2023, 209, 0
