was_die_roll, sent_message, message_received, system_time, logical_clock_time, length_of_queue
1, 1, 0, Fri Mar  3 16:22:12 2023, 0, 0
1, 0, 0, Fri Mar  3 16:22:13 2023, 1, 0
1, 1, 0, Fri Mar  3 16:22:13 2023, 2, 0
0, 0, 1, Fri Mar  3 16:22:14 2023, 3, 0
1, 1, 0, Fri Mar  3 16:22:14 2023, 10, 0
0, 0, 1, Fri Mar  3 16:22:15 2023, 11, 0
1, 1, 0, Fri Mar  3 16:22:15 2023, 16, 0
1, 0, 0, Fri Mar  3 16:22:16 2023, 17, 0
0, 0, 1, Fri Mar  3 16:22:16 2023, 18, 0
1, 0, 0, Fri Mar  3 16:22:17 2023, 26, 0
0, 0, 1, Fri Mar  3 16:22:17 2023, 27, 0
0, 0, 1, Fri Mar  3 16:22:18 2023, 32, 0
1, 1, 0, Fri Mar  3 16:22:18 2023, 33, 0
0, 0, 1, Fri Mar  3 16:22:19 2023, 34, 0
0, 0, 1, Fri Mar  3 16:22:19 2023, 41, 0
1, 0, 0, Fri Mar  3 16:22:20 2023, 42, 0
0, 0, 1, Fri Mar  3 16:22:20 2023, 43, 0
0, 0, 1, Fri Mar  3 16:22:21 2023, 48, 0
1, 1, 0, Fri Mar  3 16:22:21 2023, 52, 0
1, 0, 0, Fri Mar  3 16:22:22 2023, 53, 0
1, 0, 0, Fri Mar  3 16:22:22 2023, 54, 0
1, 0, 0, Fri Mar  3 16:22:23 2023, 55, 0
1, 1, 0, Fri Mar  3 16:22:23 2023, 56, 0
1, 0, 0, Fri Mar  3 16:22:24 2023, 57, 0
0, 0, 1, Fri Mar  3 16:22:24 2023, 58, 1
0, 0, 1, Fri Mar  3 16:22:25 2023, 71, 0
0, 0, 1, Fri Mar  3 16:22:25 2023, 72, 0
1, 0, 0, Fri Mar  3 16:22:26 2023, 78, 0
1, 0, 0, Fri Mar  3 16:22:26 2023, 79, 0
1, 0, 0, Fri Mar  3 16:22:27 2023, 80, 0
0, 0, 1, Fri Mar  3 16:22:27 2023, 81, 0
0, 0, 1, Fri Mar  3 16:22:28 2023, 89, 0
1, 0, 0, Fri Mar  3 16:22:28 2023, 92, 0
1, 1, 0, Fri Mar  3 16:22:29 2023, 93, 0
0, 0, 1, Fri Mar  3 16:22:29 2023, 94, 0
0, 0, 1, Fri Mar  3 16:22:30 2023, 102, 1
0, 0, 1, Fri Mar  3 16:22:30 2023, 104, 2
0, 0, 1, Fri Mar  3 16:22:31 2023, 105, 3
0, 0, 1, Fri Mar  3 16:22:31 2023, 107, 3
0, 0, 1, Fri Mar  3 16:22:32 2023, 109, 2
0, 0, 1, Fri Mar  3 16:22:32 2023, 110, 1
0, 0, 1, Fri Mar  3 16:22:33 2023, 111, 1
0, 0, 1, Fri Mar  3 16:22:33 2023, 113, 0
1, 0, 0, Fri Mar  3 16:22:34 2023, 122, 0
1, 0, 0, Fri Mar  3 16:22:34 2023, 123, 0
0, 0, 1, Fri Mar  3 16:22:35 2023, 124, 0
1, 0, 0, Fri Mar  3 16:22:35 2023, 130, 0
0, 0, 1, Fri Mar  3 16:22:36 2023, 131, 0
1, 0, 0, Fri Mar  3 16:22:36 2023, 137, 0
0, 0, 1, Fri Mar  3 16:22:37 2023, 138, 0
1, 0, 0, Fri Mar  3 16:22:37 2023, 147, 0
1, 0, 0, Fri Mar  3 16:22:38 2023, 148, 0
1, 1, 0, Fri Mar  3 16:22:38 2023, 149, 0
0, 0, 1, Fri Mar  3 16:22:39 2023, 150, 0
0, 0, 1, Fri Mar  3 16:22:39 2023, 158, 0
0, 0, 1, Fri Mar  3 16:22:40 2023, 160, 0
0, 0, 1, Fri Mar  3 16:22:40 2023, 165, 0
1, 0, 0, Fri Mar  3 16:22:41 2023, 167, 0
0, 0, 1, Fri Mar  3 16:22:41 2023, 168, 2
0, 0, 1, Fri Mar  3 16:22:42 2023, 169, 2
0, 0, 1, Fri Mar  3 16:22:42 2023, 172, 1
0, 0, 1, Fri Mar  3 16:22:43 2023, 173, 1
0, 0, 1, Fri Mar  3 16:22:43 2023, 176, 2
0, 0, 1, Fri Mar  3 16:22:44 2023, 183, 1
0, 0, 1, Fri Mar  3 16:22:44 2023, 184, 0
1, 0, 0, Fri Mar  3 16:22:45 2023, 185, 0
1, 0, 0, Fri Mar  3 16:22:45 2023, 186, 0
0, 0, 1, Fri Mar  3 16:22:46 2023, 187, 0
1, 0, 0, Fri Mar  3 16:22:46 2023, 195, 0
0, 0, 1, Fri Mar  3 16:22:47 2023, 196, 0
0, 0, 1, Fri Mar  3 16:22:48 2023, 204, 0
1, 0, 0, Fri Mar  3 16:22:48 2023, 208, 0
1, 0, 0, Fri Mar  3 16:22:49 2023, 209, 0
0, 0, 1, Fri Mar  3 16:22:49 2023, 210, 0
1, 0, 0, Fri Mar  3 16:22:50 2023, 216, 0
1, 1, 0, Fri Mar  3 16:22:50 2023, 217, 0
1, 0, 0, Fri Mar  3 16:22:51 2023, 218, 0
0, 0, 1, Fri Mar  3 16:22:51 2023, 219, 0
1, 0, 0, Fri Mar  3 16:22:52 2023, 228, 0
1, 0, 0, Fri Mar  3 16:22:52 2023, 229, 0
0, 0, 1, Fri Mar  3 16:22:53 2023, 230, 0
1, 1, 0, Fri Mar  3 16:22:53 2023, 231, 0
1, 0, 0, Fri Mar  3 16:22:54 2023, 232, 0
1, 0, 0, Fri Mar  3 16:22:54 2023, 233, 0
1, 1, 0, Fri Mar  3 16:22:55 2023, 234, 0
1, 0, 0, Fri Mar  3 16:22:55 2023, 235, 0
0, 0, 1, Fri Mar  3 16:22:56 2023, 236, 0
0, 0, 1, Fri Mar  3 16:22:56 2023, 256, 1
0, 0, 1, Fri Mar  3 16:22:57 2023, 257, 1
0, 0, 1, Fri Mar  3 16:22:57 2023, 258, 0
0, 0, 1, Fri Mar  3 16:22:58 2023, 260, 0
1, 0, 0, Fri Mar  3 16:22:58 2023, 261, 0
1, 1, 0, Fri Mar  3 16:22:59 2023, 262, 0
1, 0, 0, Fri Mar  3 16:22:59 2023, 263, 0
0, 0, 1, Fri Mar  3 16:23:00 2023, 264, 0
1, 0, 0, Fri Mar  3 16:23:00 2023, 273, 0
0, 0, 1, Fri Mar  3 16:23:01 2023, 274, 0
1, 0, 0, Fri Mar  3 16:23:01 2023, 286, 0
1, 0, 0, Fri Mar  3 16:23:02 2023, 287, 0
1, 0, 0, Fri Mar  3 16:23:02 2023, 288, 0
0, 0, 1, Fri Mar  3 16:23:03 2023, 289, 0
1, 1, 0, Fri Mar  3 16:23:03 2023, 298, 0
0, 0, 1, Fri Mar  3 16:23:04 2023, 299, 0
1, 1, 0, Fri Mar  3 16:23:04 2023, 304, 0
1, 0, 0, Fri Mar  3 16:23:05 2023, 305, 0
1, 1, 0, Fri Mar  3 16:23:05 2023, 306, 0
0, 0, 1, Fri Mar  3 16:23:06 2023, 307, 0
0, 0, 1, Fri Mar  3 16:23:06 2023, 316, 0
0, 0, 1, Fri Mar  3 16:23:07 2023, 319, 0
0, 0, 1, Fri Mar  3 16:23:07 2023, 321, 0
1, 1, 0, Fri Mar  3 16:23:08 2023, 323, 0
1, 0, 0, Fri Mar  3 16:23:08 2023, 324, 0
0, 0, 1, Fri Mar  3 16:23:09 2023, 325, 0
1, 0, 0, Fri Mar  3 16:23:09 2023, 332, 0
0, 0, 1, Fri Mar  3 16:23:10 2023, 333, 0
0, 0, 1, Fri Mar  3 16:23:10 2023, 337, 0
0, 0, 1, Fri Mar  3 16:23:11 2023, 341, 1
0, 0, 1, Fri Mar  3 16:23:11 2023, 344, 0
1, 0, 0, Fri Mar  3 16:23:12 2023, 345, 0
0, 0, 1, Fri Mar  3 16:23:12 2023, 346, 0
