was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
0,0,1,1678040953,0,2
0,0,1,1678040954,1,4
0,0,1,1678040955,2,4
0,0,1,1678040956,3,7
0,0,1,1678040957,4,10
0,0,1,1678040958,5,10
0,0,1,1678040959,10,10
0,0,1,1678040960,11,11
0,0,1,1678040961,13,12
0,0,1,1678040962,14,11
0,0,1,1678040963,15,14
0,0,1,1678040964,16,14
0,0,1,1678040965,17,16
0,0,1,1678040966,18,15
0,0,1,1678040968,19,18
0,0,1,1678040969,22,20
0,0,1,1678040970,24,19
0,0,1,1678040971,29,20
0,0,1,1678040972,30,21
0,0,1,1678040973,31,23
0,0,1,1678040974,35,25
0,0,1,1678040975,41,26
0,0,1,1678040976,42,26
0,0,1,1678040977,43,26
0,0,1,1678040978,44,28
0,0,1,1678040979,47,29
0,0,1,1678040980,48,31
0,0,1,1678040981,49,34
0,0,1,1678040982,50,34
0,0,1,1678040983,55,35
0,0,1,1678040984,56,34
0,0,1,1678040985,57,35
0,0,1,1678040986,58,36
0,0,1,1678040987,61,37
0,0,1,1678040988,62,40
0,0,1,1678040989,63,41
0,0,1,1678040990,69,43
0,0,1,1678040991,70,44
0,0,1,1678040992,73,45
0,0,1,1678040993,74,45
0,0,1,1678040994,75,44
0,0,1,1678040995,78,44
0,0,1,1678040996,79,44
0,0,1,1678040997,80,45
0,0,1,1678040998,81,46
0,0,1,1678040999,83,46
0,0,1,1678041000,84,46
0,0,1,1678041001,85,46
0,0,1,1678041002,87,45
0,0,1,1678041003,91,46
0,0,1,1678041004,96,47
0,0,1,1678041005,98,49
0,0,1,1678041006,99,50
0,0,1,1678041007,100,52
0,0,1,1678041008,102,54
0,0,1,1678041009,104,53
0,0,1,1678041010,105,54
0,0,1,1678041011,107,55
0,0,1,1678041012,108,56
0,0,1,1678041013,110,55
