was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
0,0,1,1678040701,0,1
0,0,1,1678040702,4,3
0,0,1,1678040703,7,5
0,0,1,1678040704,8,6
0,0,1,1678040705,10,8
0,0,1,1678040706,12,9
0,0,1,1678040707,13,12
0,0,1,1678040708,17,13
0,0,1,1678040709,18,15
0,0,1,1678040710,21,16
0,0,1,1678040711,22,16
0,0,1,1678040712,25,17
0,0,1,1678040713,26,17
0,0,1,1678040714,33,21
0,0,1,1678040715,35,26
0,0,1,1678040716,36,29
0,0,1,1678040717,38,31
0,0,1,1678040718,39,33
0,0,1,1678040719,40,35
0,0,1,1678040720,45,39
0,0,1,1678040721,47,41
0,0,1,1678040722,48,41
0,0,1,1678040723,49,41
0,0,1,1678040724,51,45
0,0,1,1678040725,56,47
0,0,1,1678040726,58,51
0,0,1,1678040727,62,53
0,0,1,1678040728,67,54
0,0,1,1678040729,68,58
0,0,1,1678040730,74,59
0,0,1,1678040731,77,58
0,0,1,1678040732,78,62
0,0,1,1678040733,79,64
0,0,1,1678040734,80,65
0,0,1,1678040735,82,67
0,0,1,1678040736,83,66
0,0,1,1678040737,84,67
0,0,1,1678040738,85,71
0,0,1,1678040739,86,73
0,0,1,1678040740,87,76
0,0,1,1678040741,88,77
0,0,1,1678040742,89,78
0,0,1,1678040743,90,81
0,0,1,1678040744,91,84
0,0,1,1678040745,93,85
0,0,1,1678040746,97,87
0,0,1,1678040747,99,88
0,0,1,1678040748,100,88
0,0,1,1678040749,101,90
0,0,1,1678040750,105,92
0,0,1,1678040751,106,96
0,0,1,1678040752,108,98
0,0,1,1678040753,111,98
0,0,1,1678040754,112,101
0,0,1,1678040755,113,102
0,0,1,1678040756,114,103
0,0,1,1678040757,115,104
0,0,1,1678040758,116,105
0,0,1,1678040759,117,105
0,0,1,1678040760,121,106
